"","Country","MYEAR","DATE","Latitude","Longitude","Species","NOINP","MATRX","Value.mgperkg","PARAM","BASIS","QFLAG","DETLI.mgperkg","LMQNT","UNCRT"
"8636","Norway",2004,"23/08/2004",68.24783333,14.66683333,"Mytilus edulis",20,"SB",0.21,"Pb","W","",0.04,NA,NA
"8637","Norway",2008,"01/10/2008",59.7445,10.52283333,"Mytilus edulis",20,"SB",0.186,"Cd","W","",NA,NA,NA
"8638","Norway",2004,"26/08/2004",66.29333333,12.83583333,"Mytilus edulis",50,"SB",0.09,"Pb","W","",0.04,NA,NA
"8639","Norway",2004,"26/08/2004",66.29333333,12.83583333,"Mytilus edulis",100,"SB",0.12,"Pb","W","",0.04,NA,NA
"8640","Norway",2004,"11/09/2004",64.39466667,10.48333333,"Mytilus edulis",20,"SB",0.39,"Pb","W","",0.04,NA,NA
"8641","Norway",2004,"11/09/2004",64.39466667,10.48333333,"Mytilus edulis",20,"SB",0.39,"Pb","W","",0.04,NA,NA
"8642","Norway",2004,"11/09/2004",64.39466667,10.48333333,"Mytilus edulis",20,"SB",0.45,"Pb","W","",0.04,NA,NA
"8643","Norway",2004,"09/10/2004",59.98233333,5.75383333,"Mytilus edulis",50,"SB",0.35,"Pb","W","",0.04,NA,NA
"8644","Norway",2004,"09/10/2004",59.98233333,5.75383333,"Mytilus edulis",100,"SB",0.25,"Pb","W","",0.04,NA,NA
"8645","Norway",2004,"09/10/2004",59.98233333,5.75383333,"Mytilus edulis",50,"SB",0.31,"Pb","W","",0.04,NA,NA
"8646","Norway",2004,"11/10/2004",60.2205,6.602,"Mytilus edulis",50,"SB",4.44,"Pb","W","",0.04,NA,NA
"8647","Norway",2004,"11/10/2004",60.2205,6.602,"Mytilus edulis",100,"SB",3.62,"Pb","W","",0.04,NA,NA
"8648","Norway",2004,"11/10/2004",60.2205,6.602,"Mytilus edulis",50,"SB",3.6,"Pb","W","",0.04,NA,NA
"8649","Norway",2004,"25/09/2004",59.64333333,6.35733333,"Mytilus edulis",20,"SB",0.53,"Pb","W","",0.04,NA,NA
"8650","Norway",2004,"25/09/2004",59.64333333,6.35733333,"Mytilus edulis",20,"SB",0.49,"Pb","W","",0.04,NA,NA
"8651","Norway",2004,"25/09/2004",59.64333333,6.35733333,"Mytilus edulis",20,"SB",0.6,"Pb","W","",0.04,NA,NA
"8652","Norway",2004,"13/09/2004",59.095,11.13666667,"Mytilus edulis",20,"SB",0.2,"Pb","W","",0.04,NA,NA
"8653","Norway",2004,"13/09/2004",59.095,11.13666667,"Mytilus edulis",20,"SB",0.3,"Pb","W","",0.04,NA,NA
"8654","Norway",2004,"13/09/2004",59.095,11.13666667,"Mytilus edulis",20,"SB",0.29,"Pb","W","",0.04,NA,NA
"8655","Norway",2004,"23/08/2004",68.24783333,14.66683333,"Mytilus edulis",20,"SB",0.22,"Pb","W","",0.04,NA,NA
"8656","Norway",2004,"23/08/2004",68.24783333,14.66683333,"Mytilus edulis",20,"SB",0.23,"Pb","W","",0.04,NA,NA
"8657","Norway",2008,"01/10/2008",59.90533333,10.73633333,"Mytilus edulis",20,"SB",0.218,"Cd","W","",NA,NA,NA
"8658","Norway",2008,"01/10/2008",59.90533333,10.73633333,"Mytilus edulis",20,"SB",0.232,"Cd","W","",NA,NA,NA
"8659","United Kingdom",2009,"16/03/2009",55.6124,-1.7605,"Mytilus edulis",20,"SB",0.459,"Pb","W","",NA,NA,84.562
"8660","United Kingdom",2009,"16/03/2009",55.6124,-1.7605,"Mytilus edulis",20,"SB",0.512,"Pb","W","",NA,NA,93.513
"8661","Norway",2008,"01/10/2008",59.90533333,10.73633333,"Mytilus edulis",20,"SB",0.225,"Cd","W","",NA,NA,NA
"8662","Norway",2008,"01/10/2008",59.85133333,10.589,"Mytilus edulis",20,"SB",0.177,"Cd","W","",NA,NA,NA
"8663","Norway",2008,"01/10/2008",59.85133333,10.589,"Mytilus edulis",20,"SB",0.166,"Cd","W","",NA,NA,NA
"8664","Norway",2008,"01/10/2008",59.85133333,10.589,"Mytilus edulis",20,"SB",0.18,"Cd","W","",NA,NA,NA
"8665","Norway",2008,"01/10/2008",59.71333333,10.55516667,"Mytilus edulis",20,"SB",0.156,"Cd","W","",NA,NA,NA
"8666","Norway",2008,"01/10/2008",59.71333333,10.55516667,"Mytilus edulis",20,"SB",0.151,"Cd","W","",NA,NA,NA
"8667","Norway",2008,"01/10/2008",59.71333333,10.55516667,"Mytilus edulis",20,"SB",0.138,"Cd","W","",NA,NA,NA
"8668","Norway",2004,"11/10/2004",58.73083333,9.272,"Mytilus edulis",100,"SB",0.48,"Pb","W","",0.04,NA,NA
"8669","Norway",2004,"11/10/2004",58.73083333,9.272,"Mytilus edulis",60,"SB",0.22,"Pb","W","",0.04,NA,NA
"8670","Norway",2004,"27/10/2004",59.7445,10.52283333,"Mytilus edulis",20,"SB",0.12,"Pb","W","",0.04,NA,NA
"8671","Norway",2004,"27/10/2004",59.7445,10.52283333,"Mytilus edulis",20,"SB",0.12,"Pb","W","",0.04,NA,NA
"8672","Norway",2004,"27/10/2004",59.85133333,10.589,"Mytilus edulis",20,"SB",0.21,"Pb","W","",0.04,NA,NA
"8673","Norway",2004,"27/10/2004",59.85133333,10.589,"Mytilus edulis",20,"SB",0.22,"Pb","W","",0.04,NA,NA
"8674","Norway",2004,"27/10/2004",59.71333333,10.55516667,"Mytilus edulis",20,"SB",0.13,"Pb","W","",0.04,NA,NA
"8675","Norway",2004,"27/10/2004",59.71333333,10.55516667,"Mytilus edulis",20,"SB",0.14,"Pb","W","",0.04,NA,NA
"8676","Norway",2004,"27/10/2004",59.71333333,10.55516667,"Mytilus edulis",20,"SB",0.14,"Pb","W","",0.04,NA,NA
"8677","Norway",2004,"27/10/2004",59.7445,10.52283333,"Mytilus edulis",20,"SB",0.13,"Pb","W","",0.04,NA,NA
"8678","Norway",2004,"04/10/2004",59.90533333,10.73633333,"Mytilus edulis",20,"SB",0.39,"Pb","W","",0.04,NA,NA
"8679","Norway",2004,"04/10/2004",59.90533333,10.73633333,"Mytilus edulis",20,"SB",0.35,"Pb","W","",0.04,NA,NA
