"X","Country","MYEAR","DATE","Latitude","Longitude","Species","NOINP","MATRX","Value.mgperkg","PARAM","BASIS","QFLAG","DETLI.mgperkg","LMQNT","UNCRT","n_bycountry"
1063,"Ireland",1992,1992-02-02,53.26666667,-9.00016667,"Mytilus edulis",30,"SB",0.57,"Cd","W","",0.007,NA,NA,986
1064,"Ireland",1992,1992-10-23,52.328,-6.41166667,"Mytilus edulis",50,"SB",0.16,"Cd","W","",0.007,NA,NA,986
1065,"Ireland",1992,1992-05-18,54.083,-6.212,"Mytilus edulis",33,"SB",0.48,"Cd","W","",0.007,NA,NA,986
1100,"Ireland",1993,1993-11-25,51.68833333,-9.476,"Mytilus edulis",50,"SB",0.2,"Cd","W","",0.007,NA,NA,986
1101,"Ireland",1993,1993-04-20,51.7025,-9.475,"Mytilus edulis",50,"SB",0.12,"Cd","W","",0.007,NA,NA,986
1102,"Ireland",1993,1993-04-05,53.26666667,-9.00016667,"Mytilus edulis",50,"SB",0.46,"Cd","W","",0.007,NA,NA,986
1103,"Ireland",1993,1993-05-06,55.10933333,-7.1805,"Mytilus edulis",50,"SB",0.09,"Cd","W","",0.007,NA,NA,986
1104,"Ireland",1993,1993-10-22,51.8565,-8.3325,"Mytilus edulis",50,"SB",0.12,"Cd","W","",0.007,NA,NA,986
1105,"Ireland",1993,1993-10-23,51.855,-8.26866667,"Mytilus edulis",50,"SB",0.21,"Cd","W","",0.007,NA,NA,986
1106,"Ireland",1993,1993-11-08,55.198,-6.99866667,"Mytilus edulis",50,"SB",0.08,"Cd","W","",0.007,NA,NA,986
1107,"Ireland",1993,1993-04-21,51.77916667,-9.83333333,"Mytilus edulis",50,"SB",0.15,"Cd","W","",0.007,NA,NA,986
1108,"Ireland",1993,1993-04-21,51.72166667,-9.54833333,"Mytilus edulis",50,"SB",0.16,"Cd","W","",0.007,NA,NA,986
1109,"Ireland",1993,1993-04-19,51.54583333,-9.40083333,"Mytilus edulis",50,"SB",0.15,"Cd","W","",0.007,NA,NA,986
1110,"Ireland",1993,1993-04-29,52.328,-6.41166667,"Mytilus edulis",50,"SB",0.23,"Cd","W","",0.007,NA,NA,986
1111,"Ireland",1993,1993-11-09,53.60333333,-9.77166667,"Mytilus edulis",50,"SB",0.13,"Cd","W","",0.007,NA,NA,986
1112,"Ireland",1993,1993-11-25,51.53883333,-9.40483333,"Mytilus edulis",50,"SB",0.15,"Cd","W","",0.007,NA,NA,986
1113,"Ireland",1993,1993-04-22,52.13333333,-9.88666667,"Mytilus edulis",50,"SB",0.15,"Cd","W","",0.007,NA,NA,986
1114,"Ireland",1993,1993-05-06,55.19833333,-6.97583333,"Mytilus edulis",50,"SB",0.15,"Cd","W","",0.007,NA,NA,986
1115,"Ireland",1993,1993-05-06,55.12583333,-7.684,"Mytilus edulis",50,"SB",0.15,"Cd","W","",0.007,NA,NA,986
1116,"Ireland",1993,1993-10-22,51.84466667,-8.33483333,"Mytilus edulis",50,"SB",0.17,"Cd","W","",0.007,NA,NA,986
1117,"Ireland",1993,1993-11-08,55.125,-7.689,"Mytilus edulis",50,"SB",0.14,"Cd","W","",0.007,NA,NA,986
1118,"Ireland",1993,1993-11-08,55.12166667,-7.175,"Mytilus edulis",50,"SB",0.21,"Cd","W","",0.007,NA,NA,986
1119,"Ireland",1993,1993-11-17,52.328,-6.41166667,"Mytilus edulis",50,"SB",0.17,"Cd","W","",0.007,NA,NA,986
1120,"Ireland",1993,1993-11-24,51.77416667,-9.81533333,"Mytilus edulis",50,"SB",0.2,"Cd","W","",0.007,NA,NA,986
1121,"Ireland",1993,1993-11-24,52.141,-9.89333333,"Mytilus edulis",50,"SB",0.2,"Cd","W","",0.007,NA,NA,986
